nome,ocupacao,data_nascimento,data_morte,conteudo
Ademar de Barros, Político brasileiro,22/04/1901,12/03/1969 (aos 67 anos),Ademar de Barros (1901-1969) foi um político brasileiro. Foi prefeito da capital paulista e Governador do Estado por dois mandatos. Concorreu a presidência da república em 1955 e em 1960.
Adriano (Imperador romano), Imperador romano,24/01/0076,10/07/0138 (aos 62 anos),"Adriano (Imperador romano) (76-138) foi o terceiro imperador romano, da Dinastia dos Antoninos, que governou entre os anos de 117 e 138 e marcou o apogeu do Império Romano."
Adélia Prado, Escritora brasileira,13/12/1935,não informado,"Adélia Prado (1935) é uma escritora e poetisa brasileira. Recebeu da Câmara Brasileira do Livro, o Prêmio Jabuti de Literatura, com o livro ""Coração Disparado"", escrito em 1978. Consagrou-se como a voz mais feminina da poesia brasileira"
Adele, Cantora inglesa,05/05/1988,não informado,"Adele (1988) é uma cantora e compositora inglesa. Foi revelação em 2008 pela BBC e ganhadora de dois prêmios Grammy Awards, em 2009, nas categorias artista revelação e vocal feminino. A canção ""Someone Like You"" foi o grande sucesso da cantora. Em 2012 recebeu seis prêmios na 54.ª edição do Grammy."
Adam Smith, Economista escocês,05/06/1723,17/07/1790 (aos 67 anos),"Adam Smith, (1723-1790) foi um economista e filósofo escocês. Considerado o pai da economia moderna. O mais importante teórico do liberalismo econômico do século XVIII. Sua principal obra ""A Riqueza das Nações"", é referência para os economistas."
Adam Driver, Ator norte-americano,19/11/1983,não informado,Adam Douglas Driver é um ator norte-americano que ficou conhecido do grande público após participar da série 
Alfred Radcliffe-Brown, Antropólogo inglês,17/01/1881,24/10/1955 (aos 74 anos),Alfred Radcliffe-Brown (1881-1955) foi um antropólogo inglês. Destacou-se pelo trabalho para aplicar a Antropologia à administração das populações nativas em várias colônias britânicas.
Alfred Nobel, Criador do Prêmio Nobel,21/10/1833,10/12/1896 (aos 63 anos),"Alfred Nobel (1833-1896) foi o criador do Prêmio Nobel. Foi um químico e industrial sueco que dedicou toda sua vida à técnica dos explosivos. Inventou a dinamite, a gelatina explosiva e outros detonantes."
Alfred Hitchcock, Cineasta inglês,13/08/1899,29/04/1980 (aos 80 anos),"Alfred Hitchcock (1899-1980) foi um cineasta inglês, uma das mais importantes personalidades do cinema de mistério e intriga, sendo chamado de “Mestre do Suspense”."
Alexis de Tocqueville, Pensador político e estadista francês,29/07/1805,16/04/1859 (aos 53 anos),"Alexis de Tocqueville (1805-1859) foi um pensador político e estadista francês. Foi considerado um dos grandes teóricos sobre a democracia americana. Especulou sobre a natureza essencial da própria democracia, suas vantagens e perigos."
"Alexandre, o Grande", Rei da Macedônia,não informado,não informado,"Alexandre, o Grande ou Alexandre III da Macedônia (356-323 a. C) foi rei da Macedônia - um império que se estendeu desde o norte da Grécia até o Egito e o Extremo Oriente, tornando-se um dos mais poderosos impérios da antiguidade."
Alexandre Orion, Artista visual brasileiro,09/08/1978,não informado,"Alexandre Orion (1978) é um artista visual, muralista e fotógrafo brasileiro. Autor dos projetos Metabiótica e Ossário."
Alexandre Herculano, Escritor português,22/03/1810,13/09/1877 (aos 67 anos),"Alexandre Herculano (1810-1877) foi um escritor, historiador e jornalista português, um dos principais autores do Romantismo em Portugal, ao lado de Almeida Garrett e Antônio Feliciano de Castilho."
Alexandre Dumas, Romancista e dramaturgo francês,24/07/1802,05/12/1870 (aos 68 anos),"Alexandre Dumas, pai (1802-1870) foi um romancista e dramaturgo francês, autor dos livros ""Os Três Mosqueteiros"" e ""O Conde de Monte Cristo"", clássicos do romance de capa e espada de grande aceitação popular."
Alexandre de Gusmão, Foi diplomata português,não informado,não informado,"Alexandre de Gusmão (1695-1753) foi diplomata português. De nacionalidade brasileira, serviu ao rei Dom João V. Foi secretário da Embaixada Portuguesa em Paris. Foi designado para o Conselho Ultramarino. Foi também secretário particular do rei."
Alexander Graham Bell, Cientista e inventor escocês,03/03/1847,02/08/1922 (aos 75 anos),"Alexander Graham Bell (1847-1922) foi um cientista escocês, inventor do telefone e fundador a Companhia Telefônica Bell. Participou da inauguração da primeira linha transcontinental ligando Nova York a São Francisco, em 1915."
Aleister Crowley, Ocultista britânico,12/10/1875,01/12/1947 (aos 72 anos),"Edward Alexander Crowley foi um polêmico mago, poeta, ocultista e escritor, que se autodenominou A Grande Besta 666."
Alexander Fleming, Médico escocês,06/08/1881,11/03/1955 (aos 73 anos),"Alexander Fleming (1881-1955) foi um médico bacteriologista escocês que descobriu a penicilina, antibiótico identificado através da substância que se movia em torno de um fungo da espécie Penicillium notatum. Identificou e isolou a lisozima, uma enzima bacteriostática, que impede o crescimento de bactérias, presentes em certos tecidos e secreções animais."
Alessandro Volta, Físico italiano,18/02/1745,05/03/1827 (aos 82 anos),"Alessandro Volta (1745-1827) foi um físico italiano, o inventor da pilha voltaica. Em sua homenagem o Congresso dos Eletricistas deu o nome de ""volt"" à unidade de força eletromotriz."
Aleijadinho, Escultor brasileiro,29/08/1730,18/11/1814 (aos 84 anos),"Aleijadinho (1738-1814) foi um escultor, entalhador e arquiteto do Brasil colonial. Suas obras estão espalhadas pelas cidades de Ouro Preto (antiga Vila Rica), Tiradentes, São João Del-Rei, Mariana, Sabará, Morro Grande e Congonhas do Campo."
Aldous Huxley, Escritor inglês,26/07/1894,22/11/1963 (aos 69 anos),"Aldous Huxley (1894-1963) foi um escritor inglês, autor do clássico da literatura “Admirável Mundo Novo”. Suas meditações em torno das experiências com drogas alucinógenas foram relatadas no livro “As Portas da Percepção”."
Aldemir Martins, Artista plástico brasileiro,08/11/1922,05/02/2006 (aos 83 anos),"Aldemir Martins (1922-2006) foi um artista plástico brasileiro, pintor ilustrador e escultor, produziu importantes obras que carregam a marca da paisagem e do homem do Nordeste do país."
Ana Beatriz Barbosa Silva,não informado,não informado,não informado,"Ana Beatriz Barbosa Silva (1967) é uma psiquiatra, escritora e palestrante brasileira. Autora do livro ""Mentes Perigosas: O Psicopata Mora ao Lado”."
Antoine de Saint-Exupéry, Escritor e piloto francês,29/06/1900,31/07/1944 (aos 44 anos),"Antoine de Saint Exupéry (1900-1944) foi um escritor, ilustrador e piloto francês, é o autor de um clássico da literatura “O Pequeno Príncipe”, escrito em 1943. Entre as suas diversas frases famosas estão: ""Só se vê bem com o coração. O essencial é invisível para os olhos"" e ""Tu te tornas eternamente responsável por aquilo que cativas""."
Antoine Lavoisier, Cientista francês,26/08/1743,08/05/1794 (aos 50 anos),"Antoine Lavoisier (1743-1794) foi um cientista francês. Autor da frase: ""Na natureza nada se cria, nada se perde, tudo se transforma"". Foi considerado um dos pais da Química moderna. Foi um dos pioneiros da Química, Fisiologia, Economia, Finanças, Agricultura, Administração Pública e Educação."
Anthony Giddens, Sociólogo britânico,18/01/1938,não informado,"Anthony Giddens (1938) é um sociólogo, conferencista e professor britânico, reconhecido por sua Teoria da Estruturação e por sua visão holística das sociedades modernas. Foi um dos pioneiros do conceito de Terceira Via."
Anthony Hopkins, Ator britânico,31/12/1937,não informado,"Anthony Hopkins (1937) é um ator britânico, naturalizado americano, estrelou em filmes de destaque, entre eles: “O Silêncio dos Inocentes”, “Hannibal”, “O Ritual” e “Encontro Marcado”."
Antero de Quental, Poeta e filósofo português,18/04/1842,11/09/1891 (aos 49 anos),"Antero de Quental (1842-1891) foi um poeta e filósofo português. Foi um verdadeiro líder intelectual do Realismo em Portugal. Dedicou-se à reflexão dos grandes problemas filosóficos e sociais de seu tempo, contribuindo para a implantação das ideias renovadoras da geração de 1870."
Anne Frank, Vítima do holocausto nazista,12/06/1929,12/03/1945 (aos 15 anos),"Anne Frank (1929-1945) foi uma jovem judia vítima do nazismo. Morreu no campo de concentração de Bergen-Belsen, na Alemanha, deixando escrito um diário que foi publicado por seu pai um sobrevivente do campo de concentração de Auschwitz (Polônia), intitulado ""O Diário de Anne Frank""."
Anna Paes,não informado,não informado,não informado,"Anna Paes (1617-1674) foi proprietária do Engenho Casa Forte, um dos mais importantes engenhos de cana de açúcar de Pernambuco, local da mais notável vitória na luta contra o domínio holandês do Brasil colônia."
Ann-Margret, Atriz sueca,28/04/1941,não informado,"Ann-Margret (1941) é uma atriz, cantora e dançarina sueca. Atuou junto com Elvis Presley em ""Viva Las Vegas"". Cantou para o presidente John Kennedy em sua última festa de aniversário. Ruiva e bonita virou símbolo sexual do cinema norte-americano nos anos 60."
Anitta," Cantora, compositora, atriz e dançarina brasileira.",30/03/1993,não informado,"Anitta é o nome artístico de Larissa de Macedo Machado (1993), uma carioca nascida em Honório Gurgel, subúrbio situado na Zona Norte do Rio de Janeiro."
Anita Garibaldi, Revolucionária brasileira,30/08/1821,04/08/1849 (aos 27 anos),"Anita Garibaldi (1821-1849) foi a ""Heroína dos Dois Mundos"". Recebeu esse título por ter participado no Brasil e na Itália, ao lado de seu marido Giuseppe Garibaldi, de diversas batalhas. Lutou na Revolução Farroupilha (Guerra dos Farrapos), na Batalha dos Curitibanos e na Batalha de Gianicolo, na Itália. "
Anita Malfatti, Pintora brasileira,02/12/1889,06/08/1964 (aos 74 anos),"Anita Malfatti (1889-1964) foi uma artista plástica brasileira. A mostra expressionista da pintora realizada em São Paulo na Exposição de Pintura Moderna foi um marco para a renovação das artes plásticas no Brasil. A crítica do escritor Monteiro Lobato, sobre a arte expressionista, publicada no jornal O Estado de São Paulo, intitulada ""Paranoia ou mistificação?"" serviu de estopim para o Movimento Modernista no Brasil."
Anísio Teixeira, Educador brasileiro,12/07/1900,11/03/1971 (aos 70 anos),Anísio Teixeira (1900-1971) foi um importante teórico da educação no Brasil. Foi o principal idealizador das grandes mudanças que ocorreram na educação brasileira no século XX. Fez parte do movimento de renovação do ensino chamado de Escola Nova.
Aníbal Beça, Poeta brasileiro,13/09/1946,25/08/2009 (aos 62 anos),"Aníbal Beça (1946-2009) foi um poeta, jornalista e compositor brasileiro. Foi repórter, redator e editor em diversos jornais de Manaus. Foi diretor de produção da TV Cultura do Amazonas."
Aníbal Machado, Escritor brasileiro,09/12/1894,20/01/1964 (aos 69 anos),"Aníbal Machado (1894-1964) foi um escritor, crítico de arte e professor brasileiro. Ensaísta e contista, ele foi considerado um dos mais importantes mestres do conto na literatura brasileira."
Anhanguera, Bandeirante paulista,não informado,não informado,"Anhanguera, apelido de Bartolomeu Bueno da Silva, (1672-1740 foi um bandeirante paulista, um dos grandes exploradores do Brasil Central. Descobriu as ambicionadas minas de Goiás."
Angelo Agostini, Ilustrador e cartunista itálo-brasileiro,08/04/1843,28/01/1910 (aos 66 anos),"Angelo Agostini (1843-1910) foi um ilustrador, caricaturista, desenhista e pintor italiano, o mais importante artista gráfico do Brasil na segunda metade do século XIX. Foi um dos criadores das histórias em quadrinhos no Brasil, foi editor e ativista político."
Angela Merkel, Ex-chanceler da Alemanha,17/07/1954,não informado,Angela Merkel (1954) é uma política alemã. Foi chanceler da Alemanha entre 2005 e 2021. Foi a primeira mulher a comandar a Alemanha e deixou o poder como uma das principais lideranças políticas do mundo.
Angel Vianna,não informado,não informado,não informado,"Angel Vianna (1928) é uma bailarina, professora e coreógrafa brasileira, uma das pioneiras da dança contemporânea no Brasil."
Andy Warhol, Pintor norte-americano,06/08/1928,22/02/1987 (aos 58 anos),"Andy Warhol, (1928-1987) foi um pintor e cineasta norte-americano, um importante artista da Pop Art, lembrado por suas pinturas nas latas de sopa Campbell e principalmente pela sequência de retratos de Marilyn Monroe."
André-Marie Ampère," Físico, cientista e matemático francês",28/01/1775,10/06/1836 (aos 61 anos),"André-Marie Ampère (1775-1836) foi um importante físico, cientista e matemático francês. Em sua homenagem, a unidade de intensidade da corrente elétrica recebeu seu nome - o ampere."
André Vidal de Negreiros," Militar, líder na expulsão dos holandeses",não informado,não informado,"André Vidal de Negreiros (1620-1680) foi um militar e líder na expulsão dos holandeses da Capitania de Pernambuco. Foi Governador das Capitanias de Pernambuco, Maranhão e do Grão-Pará. Foi também Capitão-Geral em Angola."
André Rebouças, Engenheiro e abolicionista brasileiro,13/01/1838,09/05/1898 (aos 60 anos),"André Rebouças (1838-1898) foi um engenheiro, professor, abolicionista e monarquista brasileiro. O primeiro engenheiro negro a se formar pela Escola Militar.  "
Autran Dourado, Escritor brasileiro,18/01/1926,30/09/2012 (aos 86 anos),"Autran Dourado (1926-2012) foi um escritor brasileiro. Recebeu o Prêmio Camões, pelo conjunto de sua obra, O Prêmio Machado de Assis, o Prêmio Jabuti, entre outros. O romance ""Ópera dos Mortos"" foi escolhido pela UNESCO para integrar a Coleção de Obras Representativas da Literatura Universal."
Augusto Pinochet, Ex-presidente chileno,25/11/1915,10/12/2006 (aos 91 anos),Augusto Pinochet (1915-2006) foi um ditador chileno que assumiu a presidência do Chile após liderar um golpe militar que derrubou o presidente eleito Salvador Allende. Pinochet governou o país entre 1973 e 1990.
Augusto Malta, Fotógrafo brasileiro,14/05/1864,30/06/1957 (aos 93 anos),"Augusto Malta (1864-1957) foi um fotógrafo brasileiro, um dos mais importantes fotógrafos do Brasil no final do século XIX e início do século XX."
Augusto dos Anjos, Poeta Brasileiro,20/04/1884,12/11/1914 (aos 30 anos),"Augusto dos Anjos (1884-1914) foi um poeta brasileiro, considerado um dos poetas mais críticos de sua época. Foi identificado como o mais importante poeta do pré-modernismo, embora revele em sua poesia, raízes do simbolismo, retratando o gosto pela morte, a angústia e o uso de metáforas."
Augusto de Campos, Poeta brasileiro,14/02/1931,não informado,"Augusto de Campos (1931) é um poeta, ensaísta, crítico de literatura e música e tradutor brasileiro, um dos criadores do movimento literário denominado Poesia Concreta, onde a poesia ganhava nova forma poética baseada na desintegração total do verso tradicional, uma reação contra a lírica discursiva e frequentemente retórica da geração de 45."
Augusto Cury, Psiquiatra e escritor brasileiro,02/10/1958,não informado,"Augusto Cury (1958) é um médico psiquiatra, professor e escritor brasileiro, famoso pelos seus livros na área de psicologia. É o autor da Teoria da Inteligência Multifocal."
Augusto, Imperador romano,não informado,não informado,"Augusto (Otávio Augusto) (63 a. C-14) foi o primeiro imperador romano. Governou entre 27 a. C e 14 da era cristã, inaugurando uma época de esplendor e prosperidade que marcou o papel que Roma desempenhou na História."
Auguste Rodin, Escultor francês,12/11/1840,17/11/1917 (aos 77 anos),"Auguste Rodin (1840-1917) foi um escultor francês. ""O Pensador"", ""O Beijo"", ""A Porta do Inferno"", são algumas de suas famosas esculturas. Foi um dos artistas mais influentes do século XX."
Auguste Renoir, Pintor francês,25/02/1841,03/12/1919 (aos 78 anos),"Auguste Renoir faleceu em Cages-sur Mer, na França, no dia 03 de dezembro de 1919."
Auguste Comte, Filósofo francês,19/01/1798,05/09/1857 (aos 59 anos),"Auguste Comte (1798-1857) foi um filósofo francês, considerado o fundador do Positivismo - corrente filosófica que propõe uma nova organização social. Foi o primeiro a empregar o termo sociologia."
Atena, Deusa grega,não informado,não informado,"Atena - deusa grega da sabedoria, protetora das artes, das invenções, da bravura e da eloquência, era cultuada na Grécia Antiga, nas colônias gregas da Ásia Menor e do Norte da África. Na mitologia romana a deusa da sabedoria recebeu o nome de Minerva."
Ashton Kutcher, Ator e produtor norte-americano,07/02/1978,não informado,Ashton Kutcher (1978) é um ator e produtor norte-americano. Tornou-se conhecido com o personagem “Michael Kelso” na série de televisão “That ‘70s Show”.
Audrey Hepburn, Atriz belga,04/05/1929,20/01/1993 (aos 63 anos),"Audrey Hepburn (1929-1993) foi uma atriz belga. ""A Princesa e o Plebeu"" e ""A Bonequinha de Luxo"", são dois de vários filmes de sucesso de sua carreira. Tem sua estrela na calçada da fama em Hollywood. Foi a terceira mulher a receber as quatro premiações americanas por seu trabalho, o Emmy, o Grammy, o Oscar e o Tony."
Átila, Rei dos hunos,não informado,não informado,"Átila (406-453) foi um dos maiores guerreiros da história, o mais perverso dos reis hunos. Comandou o ataque aos dois impérios romanos (do Oriente e do Ocidente), saqueou várias cidades, dominando toda a região Norte da Península Itálica."
Ataulfo Alves, Compositor e cantor brasileiro,02/05/1909,20/04/1969 (aos 59 anos),"Ataulfo Alves (1909-1969) foi um compositor e cantor brasileiro, autor dos sucessos: Ai, Que Saudade da Amélia, Mulata Assanhada, Atire a Primeira Pedra e Laranja Madura."
Ascenso Ferreira, Poeta brasileiro,09/05/1895,05/05/1965 (aos 69 anos),"Ascenso Ferreira (1895-1965) foi um poeta brasileiro, um grande folclorista pernambucano. Sua poesia é considerada um dos marcos do Modernismo brasileiro."
Ary Barroso, Compositor brasileiro,07/11/1903,09/02/1964 (aos 60 anos),"Ary Barroso (1903-1964) foi um compositor brasileiro, autor de ""Aquarela do Brasil"", música que consolidou o estilo samba-exaltação, com versos ufanistas que ajudou a elevar o gênero samba à categoria de símbolo musical nacional."
Artur Bernardes, Ex-presidente do Brasil,08/08/1875,23/03/1955 (aos 79 anos),Artur Bernardes (1875-1955) foi presidente do Brasil. Exerceu a presidência entre os anos de 1922 e 1926. Sucedeu Epitácio Pessoa e antecedeu Washington Luís.
Arthur Zanetti, Ginasta brasileiro,16/04/1990,não informado,"
Arthur Zanetti (1990) é um atleta brasileiro de ginástica artística. Foi medalhista de ouro na prova individual de argolas nos Jogos Olímpicos de Londres de 2012, o primeiro brasileiro a conquistar esse feito."
Arthur Schopenhauer, Filósofo alemão,22/02/1788,21/09/1860 (aos 72 anos),"Arthur Schopenhauer (1788-1860) foi um filósofo alemão do século XIX, fez parte de um grupo de filósofos considerados pessimistas."
Arthur Rimbaud, Poeta francês,20/10/1854,10/11/1891 (aos 37 anos),Arthur Rimbaud (1854-1891) foi um poeta francês que exerceu grande influência na poesia do século XX. Foi considerado um dos precursores da poesia moderna. Seu relacionamento com o poeta Paul Verlaine foi inspiração para o filme “Eclipse de Uma Paixão”.
Arthur Moreira Lima, Pianista erudito brasileiro,16/07/1940,não informado,"Arthur Moreira Lima (1940) é um pianista erudito brasileiro, considerado um dos maiores instrumentistas de piano do mundo. Ficou conhecido e elogiado pela interpretação no piano das obras de Chopin."
Arthur Miller, Dramaturgo norte-americano,17/10/1915,10/02/2005 (aos 89 anos),"Arthur Miller (1915-2005) foi um dramaturgo norte-americano. Autor de ""Morte de um Caixeiro Viajante"" e ""As Feiticeiras de Salém"". Um dos principais autores do teatro norte-americano contemporâneo."
Boécio, Filósofo e político italiano,não informado,não informado,"Boécio (480-524) foi um filósofo, político e poeta italiano, autor da obra ""A Consolação da Filosofia"", escrita entre 523 e 524. Representante do neoplatonismo se inclinou também pelo estoicismo e se destacou como um dos fundadores da filosofia cristã do Ocidente."
Boccaccio, Poeta italiano,16/06/1313,21/12/1375 (aos 62 anos),"Boccaccio (1313-1375) foi um poeta italiano. Sua obra-prima foi ""Decameron"" – reunião de várias histórias amorosas narradas por sete damas e três cavaleiros. Precursor do Humanismo renascentista era um cronista do mundo palpável, da sensualidade dos sentidos, dos prazeres e dores carnais."
Bocage, Poeta português,15/09/1765,21/12/1805 (aos 40 anos),"Bocage (1765-1805) foi um importante poeta português do século XVIII, considerado o maior representante do Arcadismo e o precursor do Romantismo. Poeta satírico, erótico e pornográfico, é vítima até hoje de sua própria fama e dos preconceitos que despertou."
Bob Wolfenson, Fotógrafo brasileiro,não informado,não informado,"Bob Wolfenson (1954) é um fotógrafo brasileiro, considerado um dos principais fotógrafos da história contemporânea do Brasil. "
Bob Marley, Músico jamaicano,06/02/1945,11/05/1981 (aos 36 anos),"Bob Marley (1945-1981) foi um cantor, compositor e guitarrista jamaicano, responsável por tornar o reggae um ritmo conhecido mundialmente. Foi também um dos maiores representantes do movimento religioso Rastafári."
Bob Dylan, Cantor e compositor norte-americano,24/05/1941,não informado,Bob Dylan (1941) é um cantor e compositor norte-americano de folk. Um dos ícones da contracultura. É considerado um dos maiores compositores do século XX. Prêmio Nobel de Literatura de 2016.
Blaise Pascal, Filósofo francês,19/06/1623,19/08/1662 (aos 39 anos),"Blaise Pascal (1623-1662) foi um físico, matemático, filósofo e teólogo francês. Autor da famosa frase: ""O coração tem razões que a própria razão desconhece""."
Billie Holiday, Cantora norte-americana,07/04/1915,17/07/1959 (aos 44 anos),Billie Holiday (1915-1959) foi uma cantora e compositora norte-americana que se tornou uma lenda do jazz. Foi considerada a cantora que deu início ao jazz moderno.
Billie Eilish, Cantora e compositora norte-americana,18/12/2001,não informado,"Billie Eilish Pirate Baird O’Connell é uma jovem estrela pop que compõe e canta. A menina prodígio, com uma promissora carreira internacional, está cada vez mais famosa entre o grande público."
Bill Gates, Empresário norte-americano,28/10/1955,não informado,"Bill Gates (1955) é um empresário norte-americano, um dos fundadores da Microsoft, uma gigante desenvolvedora de softwares. Magnata e filantropo é considerado um dos homens mais ricos do mundo. Em 2000 criou a Bill & Melinda Gates Foundation, a maior fundação de caridade do mundo."
Bill Clinton, Político norte-americano,19/08/1946,não informado,"William Jefferson Blythe III, conhecido apenas como Bill Clinton, foi o 42º presidente dos Estados Unidos da América tendo sido eleito para cumprir dois mandatos (de 1993 a 2001). "
Bibi Ferreira, Atriz brasileira,01/06/1922,13/02/2019 (aos 96 anos),"Bibi Ferreira (1922-2019) foi uma atriz, diretora e cantora brasileira, estrela de peças teatrais e de musicais de destaque no teatro brasileiro, como Gota D'Água e Piaf - A Vida de Uma Estrela."
Biafra, Cantor e compositor brasileiro,15/10/1957,não informado,Biafra (1957) é um cantor brasileiro de música romântica. É conhecido por canções de grande sucesso como “Sonho de Ícaro” e “Leão Ferido”.
Bhagavan Sri Sathya Sai Baba, Guru indiano,23/11/1926,24/04/2011 (aos 84 anos),"Bhagavan Sri Sathya Sai Baba (1926-2011) foi um guru indiano, líder espiritual, místico, filantropo e educador."
Bhaskara, Matemático indiano,não informado,não informado,"Bhaskara (1114-1185) foi um matemático, astrólogo, astrônomo e professor indiano. Se tornou conhecido por ter criado a fórmula matemática aplicada na equação de 2° grau, embora haja controvérsias quanto a esse fato."
Beyoncé, Cantora e compositora norte-americana,04/09/1981,não informado,"Beyoncé (1981) é uma cantora, compositora, produtora musical e atriz norte-americana de música R&B e pop. A cantora é considerada a mulher do século no mundo pop."
Betinho, Sociologo brasileiro,03/11/1935,09/08/1997 (aos 61 anos),"Herbert José de Souza (1935-1997), conhecido como Betinho, foi um sociólogo brasileiro e ativista dos direitos humanos no Brasil. Seu trabalho mais importante foi o projeto ""Ação da Cidadania contra a Fome, a Miséria e pela Vida""."
Cacilda Becker, Atriz brasileira,06/04/1921,14/06/1969 (aos 48 anos),Cacilda Becker (1921-1969) foi atriz brasileira. Considerada uma das personalidades mais importantes da classe teatral brasileira e líder da categoria na primeira fase do Regime Militar de 1964.
C. S. Lewis, Escritor britânico,29/11/1898,22/11/1963 (aos 64 anos),"C. S. Lewis (1898-1963) foi um escritor, professor e crítico literário irlandês. Ficou conhecido por seu trabalho sobre literatura medieval, por suas palestras e escritos cristãos, como também pela série de sete livros de ficção e fantasia intitulada “As Crônicas de Nárnia”."
Carlota Joaquina, Rainha Consorte de Portugal,25/04/1775,07/01/1830 (aos 54 anos),"Carlota Joaquina (1775-1830) foi Rainha Consorte de Portugal, esposa do Rei Dom João VI. Foi Rainha Consorte do Reino Unido de Portugal, Brasil e Algarves."
Carlos Zéfiro, Desenhista brasileiro,26/09/1921,05/07/1992 (aos 70 anos),"Carlos Zéfiro (1921-1992) foi um desenhista brasileiro, autor de quadrinhos eróticos publicados em formato de gibi que ficaram conhecidos como “catecismos”."
Carlos V, Imperador do Sacro Império Romano Germânico,24/02/1500,21/09/1558 (aos 58 anos),"Carlos V (1500-1558) foi Imperador do Sacro Império Romano-Germânico. No século XVI, chegou a ser o homem mais poderoso do mundo. Com 19 anos seu império era formado pela Áustria, Espanha, Alemanha, os Países Baixos, os reinos de Nápoles e da Sicília, a Lombardia, o Franco Condado, Artois, o Ducado de Milão e de terras do Novo Mundo conquistadas pela Espanha."
Carlos Saldanha, Diretor cinematográfico,24/01/1965,não informado,"Carlos Saldanha (1965) é um diretor cinematográfico brasileiro, um dos maiores nomes da animação no mundo. Depois de brilhar com a trilogia “A Era do Gelo”, liderou as bilheterias com o sucesso da animação “Rio” e “Rio 2”. Com o filme ""O Touro Ferdinando"", concorreu ao Oscar de Melhor Animação em 2018."
Carlos Marighella, Guerrilheiro político brasileiro,05/12/1911,04/11/1969 (aos 57 anos), Guerrilheiro político brasileiro
Carlos Magno, Imperador da dinastia dos Carolíngios,02/04/0742,28/01/0814 (aos 71 anos),"Carlos Magno (742-814) foi Imperador da dinastia dos Carolíngios, um dos mais importantes imperadores da Idade Média. Dominou a maior parte da Europa central. Coroado pelo papa tornou-se senhor absoluto do Sacro Império Romano."
Carlos Gomes, Compositor brasileiro,11/07/1836,16/09/1896 (aos 60 anos),"Carlos Gomes (1836-1896) foi um compositor brasileiro, autor da ópera O Guarani, inspirada no romance do escritor José de Alencar. Foi considerado o maior compositor lírico das Américas. Foi o segundo nome mais encenado no Teatro Alla Scala de Milão, atrás apenas de Giuseppe Verdi."
